date,energy,t_max,t_min,precip,snow,snow_depth
2018-01-01,6.504,30,12,0.0,0.0,0
2018-01-02,17.527,46,12,0.0,0.0,0
2018-01-03,11.227,50,20,0.0,0.0,0
2018-01-04,49.748,52,24,0.0,0.0,0
2018-01-05,2.956,62,25,0.0,0.0,0
2018-01-06,32.72,60,30,0.0,0.0,0
2018-01-07,30.612,55,30,0.0,0.0,0
2018-01-08,24.46,56,25,0.0,0.0,0
2018-01-09,45.80200000000001,67,36,0.0,0.0,0
2018-01-10,47.038,59,44,0.01,0.0,0
2018-01-11,60.38,47,20,0.0,0.0,0
2018-01-12,55.01,48,29,0.0,0.0,0
2018-01-13,28.524,52,21,0.0,0.0,0
2018-01-14,13.798,52,22,0.0,0.0,0
2018-01-15,4.099,38,16,0.06,1.7,2
2018-01-16,70.312,36,0,0.0,0.0,1
2018-01-17,44.852,52,14,0.0,0.0,0
2018-01-18,51.591,63,24,0.0,0.0,0
2018-01-19,34.904,69,38,0.0,0.0,0
2018-01-20,30.095,62,31,0.0,0.0,0
2018-01-21,31.312,32,24,0.67,7.1,7
2018-01-22,32.883,48,15,0.0,0.0,5
2018-01-23,92.306,44,19,0.0,0.0,4
2018-01-24,127.912,53,15,0.0,0.0,4
2018-01-25,47.482,53,28,0.0,0.0,4
2018-01-26,67.479,47,28,0.0,0.0,3
2018-01-27,44.806,45,20,0.0,0.0,3
2018-01-28,42.615,50,23,0.0,0.0,2
2018-01-29,45.185,59,23,0.0,0.0,1
2018-01-30,32.351,64,35,0.0,0.0,0
2018-01-31,45.487,59,24,0.0,0.0,0
2018-02-01,104.703,40,22,0.03,0.5,1
2018-02-02,128.53,52,23,0.0,0.0,0
2018-02-03,56.292,58,32,0.0,0.0,0
2018-02-04,24.391,50,15,0.02,0.3,0
2018-02-05,49.065,53,20,0.02,0.0,0
2018-02-06,54.661,49,22,0.0,0.0,0
2018-02-07,89.72800000000001,53,24,0.0,0.0,0
2018-02-08,113.269,60,35,0.0,0.0,0
2018-02-09,85.261,56,24,0.0,0.0,0
2018-02-10,30.805,24,10,0.3,4.1,4
2018-02-11,64.555,46,6,0.04,1.6,2
2018-02-12,115.167,32,15,0.0,0.1,0
2018-02-13,92.738,57,12,0.0,0.0,0
2018-02-14,46.618,63,41,0.0,0.0,0
2018-02-15,100.229,50,29,0.0,0.0,0
2018-02-16,87.573,41,14,0.04,0.6,0
2018-02-17,86.85,56,31,0.0,0.0,0
2018-02-18,88.649,66,36,0.0,0.0,0
2018-02-19,57.752,54,10,0.11,3.2,2
2018-02-20,79.457,15,-6,0.34,5.6,6
2018-02-21,82.2,19,-4,0.0,0.0,4
2018-02-22,130.412,30,7,0.0,0.0,4
2018-02-23,119.732,34,9,0.01,0.1,4
2018-02-24,107.963,37,16,0.13,2.4,4
2018-02-25,139.53900000000002,40,20,0.0,0.0,3
2018-02-26,59.702,52,22,0.0,0.0,2
2018-02-27,54.354,52,22,0.0,0.0,1
2018-02-28,96.746,48,25,0.0,0.0,0
2018-03-01,80.57300000000001,0,0,0.0,0.0,0
2018-03-02,59.693,53,20,0.0,0.0,0
2018-03-03,118.77,69,31,0.0,0.0,0
2018-03-04,106.203,68,30,0.0,0.0,0
2018-03-05,37.125,67,31,0.0,0.0,0
2018-03-06,84.595,45,24,0.0,0.0,0
2018-03-07,75.41499999999999,51,20,0.0,0.0,0
2018-03-08,101.001,52,17,0.0,0.0,0
2018-03-09,58.271,65,25,0.0,0.0,0
2018-03-10,76.535,64,40,0.0,0.0,0
2018-03-11,47.348,57,39,0.0,0.0,0
2018-03-12,44.817,51,19,0.0,0.0,0
2018-03-13,84.037,56,22,0.0,0.0,0
2018-03-14,73.084,57,23,0.0,0.0,0
2018-03-15,114.374,66,30,0.0,0.0,0
2018-03-16,90.393,65,35,0.0,0.0,0
2018-03-17,72.96000000000001,52,31,0.32,0.1,0
2018-03-18,89.713,61,27,0.0,0.0,0
2018-03-19,105.595,54,28,0.25,0.2,0
2018-03-20,57.291,45,27,0.36,0.8,0
2018-03-21,92.561,51,25,0.0,0.0,0
2018-03-22,114.123,60,27,0.0,0.0,0
2018-03-23,159.635,72,38,0.0,0.0,0
2018-03-24,96.665,70,51,0.0,0.0,0
2018-03-25,113.27,64,31,0.0,0.0,0
2018-03-26,76.658,62,31,0.0,0.0,0
2018-03-27,35.686,56,35,0.1,0.0,0
2018-03-28,87.76,47,26,0.61,3.0,0
2018-03-29,53.177,47,29,0.39,1.5,1
2018-03-30,87.954,47,24,0.19,1.2,0
2018-03-31,80.16499999999999,63,25,0.01,0.0,0
2018-04-01,41.9,59,31,0.0,0.0,0
2018-04-02,34.906,49,24,0.02,0.1,0
2018-04-03,75.678,74,31,0.0,0.0,0
2018-04-04,114.364,65,30,0.0,0.0,0
2018-04-05,184.743,62,23,0.0,0.0,0
2018-04-06,142.745,65,37,0.0,0.0,0
